0.85A 180-300,,1.63A 180-300,,2.94A 180-300,
X,Y,X,Y,X,Y
,,,,262.8592307196582,11.076709343708528
,,,,259.263010835842,11.126889496566175
,,,,258.1841448706972,11.14216171700111
,,,,255.66679095202585,11.167251793429934
,,,,255.66679095202585,11.174887903647402
,,,,254.0484920043085,11.189069251194129
,,,,251.35132709144636,11.214159327622951
,,,,250.63208311468316,11.227249802281468
,,,,250.0926501321107,11.234885912498937
,,,,249.19359516115668,11.249067260045663
,,,,248.2945401902026,11.25997598892776
,,,,246.85605223667613,11.273066463586277
,,,,245.77718627153126,11.290520429797631
,,,,243.61945434124155,11.315610506226456
,,,,183.56258228151094,11.849047348561006
,,,,189.49634508980768,11.815230289026506
,,,,191.11464403752495,11.79886719570336
,,,,193.2723759678147,11.785776721044844
,,,,194.71086392134117,11.771595373498117
,,,,196.50897386324928,11.75523228017497
,,,,198.3070838051574,11.742141805516454
,,,,199.74557175868387,11.726869585081518
,,,,202.98216965411845,11.709415618870164
,,,,205.4995235727898,11.687598161105969
,,,,208.19668848565195,11.665780703341774
,,,,208.19668848565195,11.665780703341774
,,,,209.095743456606,11.647235864242209
,,,,211.0736643927049,11.631963643807273
,,,,212.871774334613,11.621054914925177
,,,,214.66988427652112,11.609055313154869
,,,,214.66988427652112,11.609055313154869
,,,,216.64780521262003,11.588328728278885
,,,,218.98534813710054,11.56651127051469
,,,,220.42383609062705,11.555602541632593
,,,,222.04213503834433,11.542512066974076
,,,,222.76137901510756,11.52942159231556
,,,,223.6604339860616,11.516331117657044
,,,,225.81816591635135,11.503240642998527
,,,,226.7172208873054,11.495604532781059
,,,,224.37967796282487,11.515240244768833
,,,,227.43646486406863,11.481423185234332
,,,,228.3355198350227,11.477059693681493
,,,,229.59419679435837,11.462878346134767
,,,,230.13362977693077,11.459605727470137
,,,,231.93173971883888,11.446515252811622
,,,,231.93173971883888,11.438879142594153
,,,,233.37022767236536,11.423606922159218
,,,,233.01060568398373,11.431243032376685
,,,,234.80871562589184,11.41269819327712
,,,,234.98852662008267,11.403971210171443
,,,,236.78663656199075,11.394153354177556
,,,,237.14625855037238,11.384335498183669
,,,,238.76455749808966,11.369063277748731
,,,,238.76455749808966,11.369063277748731
,,,,240.20304545161616,11.351609311537377
,,,,241.82134439933344,11.33633709110244
,,,,242.00115539352424,11.327610107996762
,,,,295.4050206681949,10.595634400008043
,,,,293.7867217204776,10.628360586654335
,,,,293.06747774371433,10.64363280708927
,,,,292.5280447611419,10.65017804441853
,,,,292.1684227727603,10.656723281747787
,,,,291.62898979018786,10.663268519077045
,,,,289.651068854089,10.68835859550587
,,,,289.8308798482798,10.695994705723336
,,,,289.1116358715165,10.713448671934692
,,,,288.3923918947533,10.729811765257839
